Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Europe & Central Asia,Aruba,2017,EXPIMP,Food Products,43527.46,30.04,18.89,0.04,,,,0.09,0.25,371,0,69,1.89,29.11,5.52,0,3.63,3.63,34.62,8.29,4.47,371,11.32,15.09,25.07,48.52,53.98,0,11.93,23.83,14.42
Europe & Central Asia,Afghanistan,2017,EXPIMP,Food Products,83063.99,664.48,3.93,0.97,,,,8.88,12.92,364,0,70.05,1.92,28.02,202.81,0,0.08,67.45,253.42,26.21,29.74,364,25.82,4.4,20.05,49.73,202.81,0,150.03,320.77,0.1
Europe & Central Asia,Angola,2017,EXPIMP,Food Products,408399.96,1578.53,8.46,0.06,,,,0.13,0,328,0,68.29,2.44,29.27,5.52,0,2.23,2.23,1576.24,14.28,43.09,328,25.3,7.62,10.06,57.01,59.59,0,16.91,1571.4,7.08
Europe & Central Asia,Anguila,2017,EXPIMP,Food Products,690.93,408.4,2.88,10.49,,,,2.52,1.51,183,4.37,64.48,2.73,28.42,26.02,0,15.52,121.45,286.95,3.34,1.89,183,4.37,25.14,21.86,48.63,39.83,0,300.33,406.27,2.14
Europe & Central Asia,Albania,2017,EXPIMP,Food Products,337297.75,73181.15,8.36,3.53,,,,16.14,8.18,3011,6.61,54.57,3.65,35.17,3000,0,236.79,26313.72,47073.94,29.68,19.94,3011,28.63,7.61,12.82,50.95,3000,0,7610.22,69405.48,3982.18
Europe & Central Asia,Andorra,2017,EXPIMP,Food Products,205713.31,210.92,14.54,0.32,,,,1.98,3.03,696,0,45.83,3.02,51.15,36.69,0,5.33,39.14,158.66,19.57,23.49,696,5.6,0.72,14.22,79.45,96.13,0,79.16,196.63,1.17
Europe & Central Asia,United Arab Emirates,2017,EXPIMP,Food Products,2467697.89,47228.4,3.88,0.18,,,,23.44,32.96,7199,38.59,4.99,16.64,39.78,3000,0,15338.21,34969.74,3213.75,25.58,34.59,7199,38.62,4.36,16.64,40.38,3000,0,15338.21,35555.45,2628.03
Europe & Central Asia,Argentina,2017,EXPIMP,Food Products,201285.47,5111618.64,1.69,40.79,,,,13.63,1.68,12523,26.43,4.35,9.49,59.73,374.71,0,509988.81,1104323.69,3671349.47,17.88,2.65,12523,26.45,3.57,9.49,60.5,374.71,0,509988.81,1159585.44,3616087.71
Europe & Central Asia,Armenia,2017,EXPIMP,Food Products,248624.79,276170.57,9.59,19.01,,,,2.23,0.07,8840,2.33,44.45,4.69,48.53,374.71,0,841.6,2290.33,252989.44,11.29,2.34,8840,33.67,5.85,7.49,53,374.71,0,4332.47,241923.02,13356.75
Europe & Central Asia,American Samoa,2017,EXPIMP,Food Products,95.68,92.16,1.63,2.8,,,,9.74,0.36,76,28.95,3.95,38.16,28.95,27.61,0,0.34,3.29,88.79,9.74,0.36,76,28.95,3.95,38.16,28.95,27.61,0,0.34,3.29,88.79
